Country,Birth_rate_2000,Birth_rate_2005,Birth_rate_2013,Death_rate_2000,Death_rate_2005,Death_rate_2010
United Arab Emirates,16.738,16.302,14.466,1.896,1.471,1.032
Qatar,19.421,15.319,10.98,1.995,1.746,1.378
Bahrain,21.228,18.62,15.214,2.801,2.474,2.305
Oman,23.913,21.564,20.851,3.485,3.084,2.728
Kuwait,23.854,21.263,20.575,3.133,3.123,2.885
Brunei Darussalam,22.843,19.627,15.542,2.836,2.776,3.133
Saudi Arabia,27.112,23.158,19.402,4.026,3.566,3.242
Maldives,24.528,21.262,21.957,5.109,3.903,3.379
West Bank and Gaza,40.9,37.3,30.394,4.5,4,3.48
Jordan,31.174,30.143,27.046,4.149,3.878,3.691
Syrian Arab Republic,30.471,27.125,24.043,3.661,3.384,3.896
St. Martin,17.4,17.5,16,3.3,3.7,4
Libya,22.395,22.733,20.687,4.446,4.243,4.205
Costa Rica,20.082,17.454,15.12,3.946,4.043,4.236
Lebanon,18.535,14.128,13.426,5.516,4.782,4.429
Belize,29.15,26.517,23.41,5.487,4.978,4.466
Mexico,24.148,21.666,18.407,4.624,4.522,4.526
Nicaragua,27.904,25.398,22.73,5.234,4.843,4.553
Singapore,11.8,10.2,9.3,3.9,4.4,4.6
Malaysia,22.7,18.536,17.653,4.408,4.473,4.701
Honduras,31.628,28.758,25.786,5.379,5.174,4.722
Vanuatu,32.443,29.434,26.627,6.227,5.334,4.752
Uzbekistan,21.4024803,20.3894066,22.5,5.500840676,5.372602715,4.8
Guam,21.936,19.424,17.381,4.547,4.673,4.81
Ecuador,25.316,23.587,20.812,5.075,4.951,4.915
Panama,23.902,22.228,19.445,4.782,4.817,4.928
Cabo Verde,28.819,23.796,20.121,6.141,5.459,5.087
New Caledonia,21.4,17.2,17,5.1,4.9,5.1
Israel,21.7,20.8,21.3,6,5.6,5.1
Iraq,35.882,34.307,31.093,5.067,5.403,5.172
Guatemala,36.63,34.551,30.991,6.434,5.832,5.177
Iran Islamic,18.672,18.084,18.79,5.258,5.258,5.187
Peru,24.114,22.105,19.699,5.769,5.454,5.288
Venezuela,23.593,22.143,19.767,4.976,5.072,5.294
Korea,13.3,8.9,8.6,5.2,5,5.3
Middle East & North Africa (all income levels),24.58527991,23.49313074,22.8631322,5.670672177,5.552052412,5.350557352
Samoa,30.595,29.498,26.203,6.082,5.816,5.407
French Polynesia,19.961,18.194,16.39,4.811,4.744,5.475
Chile,16.683,15.11,13.922,5.099,5.158,5.542
Colombia,22.897,21.266,18.783,5.659,5.526,5.588
Bangladesh,27.028,23.442,20.005,7.239,6.43,5.661
Jamaica,20.7,17.54,13.54,6.3,6.59,5.7
Turkey,21.456,19.403,16.836,6.396,5.923,5.702
Paraguay,28.033,25.761,23.726,5.784,5.564,5.71
Vietnam,17.306,16.967,15.537,5.398,5.442,5.711
Timor-Leste,42.544,37.868,35.755,9.448,7.431,5.721
Middle East & North Africa (developing only),24.5897261,23.77547539,23.57629878,5.877905951,5.82777232,5.73655887
Latin America & Caribbean (developing only),23.23168282,20.82705333,17.95384699,5.91101349,5.777065914,5.754393629
Azerbaijan,14.5,16.9,18.3,5.8,6.2,5.8
Solomon Islands,35.607,34.724,30.816,7.671,6.617,5.853
Latin America & Caribbean (all income levels),22.61252661,20.39688091,17.7688198,6.018994628,5.906114965,5.906362435
Algeria,19.595,21.08,24.312,5.252,5.447,5.922
